epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,5394.72,0.85965,0.88831,1.24292,0.77569,0.6651,0.74241,0.52387,1.17973,1.07385,1.42009,0.000356141,0.000356141,0.000356141
128,5436.96,0.8611,0.88639,1.24062,0.79774,0.65646,0.74211,0.5234,1.17866,1.07526,1.41958,0.000331646,0.000331646,0.000331646
129,5479.25,0.85952,0.89112,1.24142,0.76114,0.68013,0.7422,0.52274,1.17938,1.07526,1.42106,0.000308113,0.000308113,0.000308113
130,5521.53,0.85769,0.87828,1.24047,0.74732,0.69152,0.74185,0.52321,1.17921,1.07349,1.42175,0.000285553,0.000285553,0.000285553
131,5563.69,0.85218,0.88343,1.23652,0.74372,0.69434,0.74181,0.52342,1.17986,1.07062,1.42286,0.000263975,0.000263975,0.000263975
132,5606.14,0.84943,0.88307,1.23588,0.78219,0.66534,0.74131,0.52342,1.18069,1.0704,1.42432,0.000243389,0.000243389,0.000243389
133,5648.42,0.85089,0.87252,1.23243,0.78038,0.66489,0.74071,0.52273,1.18143,1.07119,1.42584,0.000223803,0.000223803,0.000223803
134,5690.75,0.8475,0.87227,1.23696,0.77406,0.6718,0.74158,0.52268,1.18137,1.07153,1.42575,0.000205227,0.000205227,0.000205227
135,5733,0.85677,0.87975,1.24228,0.77077,0.67396,0.74161,0.5227,1.18164,1.07119,1.42575,0.000187668,0.000187668,0.000187668
136,5775.25,0.84854,0.87026,1.23204,0.78659,0.66559,0.74236,0.52305,1.18185,1.0708,1.42592,0.000171135,0.000171135,0.000171135
137,5817.6,0.85552,0.87932,1.2415,0.77926,0.67199,0.74285,0.52272,1.18285,1.07306,1.42638,0.000155634,0.000155634,0.000155634
138,5860.03,0.84589,0.87068,1.22965,0.77668,0.67278,0.74303,0.52371,1.18275,1.07207,1.42613,0.000141173,0.000141173,0.000141173
139,5902.31,0.84774,0.86858,1.23631,0.78192,0.67191,0.74307,0.52423,1.18353,1.07134,1.42657,0.000127757,0.000127757,0.000127757
140,5944.62,0.84008,0.86656,1.22622,0.78027,0.67395,0.74255,0.5247,1.18301,1.07221,1.42647,0.000115392,0.000115392,0.000115392
141,5987.82,0.85284,0.8088,1.24534,0.77501,0.67376,0.74009,0.52204,1.18264,1.07308,1.42791,0.000104085,0.000104085,0.000104085
